coolant_temperature,oil_pressure,oil_TDN1,oil_temp1,oil_TDN2,oil_temp2,vibration_1_x,vibration_1_y,vibration_1_z,vibration_1_n,vibration_2_x,vibration_2_y,vibration_2_z,vibration_2_n,vibration_3_x,vibration_3_y,vibration_3_z,vibration_3_n,vibration_4_x,vibration_4_y,vibration_4_z,vibration_4_n,vtotal_rms,vtotal_rms_noise,vtotal_x_rms,vtotal_y_rms,band
58,9.561128527,0,0,651.1,18.39,9.338551,6.740798,7.836062,101.0038,1.772388,4.07391,10.48957,102.3567,15.44876,14.2803,35.86952,99.39792,23.30537,7.212979,12.64463,102.4692,16.138,100.675,20.732,10.162,4
59.5,9.498432602,0,0,651.1,18.39,9.338551,6.740798,7.836062,101.0038,1.772388,4.07391,10.48957,102.3567,15.44876,14.2803,35.86952,99.39792,27.69169,7.579629,14.87108,101.8094,17.749,102.146,22.587,11.383,4
61,9.435736677,0,0,651.6,18.42,9.338551,6.740798,7.836062,101.0038,1.772388,4.07391,10.48957,102.3567,15.44876,14.2803,35.86952,99.39792,26.41688,7.551925,14.54404,104.2185,17.749,102.146,22.587,11.383,4
62.75,9.373040752,0,0,652.2,18.45,9.338551,6.740798,7.836062,101.0038,1.772388,4.07391,10.48957,102.3567,15.44876,14.2803,35.86952,99.39792,25.78672,7.583259,14.20409,102.7071,17.749,102.146,22.587,11.383,4
30.125,9.122257053,0,0,510.5,10.58,9.139723,6.721263,13.0908,105.2171,0.0949451,0.1458585,0.3148852,105.0272,0.02266351,0.01990092,0.03149039,101.834,0,0,0,37.89566,0.026,63.364,0.025,0.024,4
30.75,9.310344828,0,0,510.5,10.58,9.139723,6.721263,13.0908,105.2171,10.92914,13.07239,29.88815,103.9731,0.02266351,0.01990092,0.03149039,101.834,0,0,0,37.89566,0.026,63.364,0.025,0.024,4
31.375,9.247648903,0,0,510.5,10.58,9.139723,6.721263,13.0908,105.2171,10.92914,13.07239,29.88815,103.9731,6.571971,5.597943,9.478527,102.4736,0,0,0,37.89566,0.026,63.364,0.025,0.024,4
32,9.184952978,0,0,510.5,10.58,9.139723,6.721263,13.0908,105.2171,10.92914,13.07239,29.88815,103.9731,6.571971,5.597943,9.478527,102.4736,9.606573,15.01289,18.04203,103.3876,0.026,63.364,0.025,0.024,4
32.75,9.184952978,0,0,510.5,10.58,9.139723,6.721263,13.0908,105.2171,10.92914,13.07239,29.88815,103.9731,6.571971,5.597943,9.478527,102.4736,10.22189,14.53601,18.35041,105.6279,12.027,104.274,10.674,11.05,4
33.5,9.310344828,0,0,510.5,10.58,9.139723,6.721263,13.0908,105.2171,10.92914,13.07239,29.88815,103.9731,6.571971,5.597943,9.478527,102.4736,9.505412,12.86658,16.4401,103.2562,12.027,104.274,10.674,11.05,4
34.25,9.184952978,0,0,510.5,10.58,8.680242,7.658575,12.77121,105.2309,10.92914,13.07239,29.88815,103.9731,6.571971,5.597943,9.478527,102.4736,9.505412,12.86658,16.4401,103.2562,12.027,104.274,10.674,11.05,4
35,9.184952978,0,0,510.5,10.58,8.680242,7.658575,12.77121,105.2309,8.095301,9.184322,22.09588,103.3791,6.571971,5.597943,9.478527,102.4736,9.505412,12.86658,16.4401,103.2562,12.027,104.274,10.674,11.05,4
35.75,9.122257053,0,0,510.5,10.58,8.680242,7.658575,12.77121,105.2309,8.095301,9.184322,22.09588,103.3791,7.138619,5.67289,9.755919,104.9055,9.505412,12.86658,16.4401,103.2562,12.027,104.274,10.674,11.05,4
36.25,9.059561129,0,0,510.5,10.61,8.680242,7.658575,12.77121,105.2309,8.095301,9.184322,22.09588,103.3791,7.138619,5.67289,9.755919,104.9055,11.06208,15.58551,21.10312,103.8413,12.027,104.274,10.674,11.05,4
37,9.059561129,0,0,510.5,10.61,8.680242,7.658575,12.77121,105.2309,8.095301,9.184322,22.09588,103.3791,7.138619,5.67289,9.755919,104.9055,9.974641,14.12648,17.92589,105.2781,12.084,103.93,10.658,10.973,4
37.75,9.059561129,0,0,511,10.61,8.680242,7.658575,12.77121,105.2309,8.095301,9.184322,22.09588,103.3791,7.138619,5.67289,9.755919,104.9055,11.07553,15.01194,20.92799,102.5539,12.084,103.93,10.658,10.973,4
38.25,9.059561129,0,0,511,10.61,8.680242,7.658575,12.77121,105.2309,8.095301,9.184322,22.09588,103.3791,7.138619,5.67289,9.755919,104.9055,8.968388,13.15406,17.311,104.854,12.084,103.93,10.658,10.973,4
