coolant_temperature,oil_pressure,oil_TDN1,oil_temp1,oil_TDN2,oil_temp2,vibration_1_x,vibration_1_y,vibration_1_z,vibration_1_n,vibration_2_x,vibration_2_y,vibration_2_z,vibration_2_n,vibration_3_x,vibration_3_y,vibration_3_z,vibration_3_n,vibration_4_x,vibration_4_y,vibration_4_z,vibration_4_n,vtotal_rms,vtotal_rms_noise,vtotal_x_rms,vtotal_y_rms,band
44,7.247648903,0,0,546.9,12.6,29.83887,35.61409,32.4394,98.19473,7.922327,12.79952,24.97138,99.27339,19.51197,12.36886,43.46466,96.67895,45.5,16.24754,43.66766,106.3735,28.968,100.822,25.542,29.741,2
44.75,7.373040752,0,0,547.8,12.65,29.83887,35.61409,32.4394,98.19473,7.922327,12.79952,24.97138,99.27339,19.51197,12.36886,43.46466,96.67895,47.06482,15.42731,44.77693,102.548,28.968,100.822,25.542,29.741,2
45.75,7.310344828,0,0,548.3,12.7,29.83887,35.61409,32.4394,98.19473,7.922327,12.79952,24.97138,99.27339,19.51197,12.36886,43.46466,96.67895,47.65143,17.8583,45.42758,104.6263,28.968,100.822,25.542,29.741,2
42,7.247648903,0,0,545.1,12.5,29.83887,35.61409,32.4394,98.19473,7.922327,12.79952,24.97138,99.27339,19.51197,12.36886,43.46466,96.67895,47.52456,16.25954,45.95149,105.0106,0.028,87.871,0.027,0.026,2
43,7.310344828,388.2,3.78,545.1,12.5,29.83887,35.61409,32.4394,98.19473,7.922327,12.79952,24.97138,99.27339,19.51197,12.36886,43.46466,96.67895,48.70876,18.41585,48.49004,102.6718,28.968,100.822,25.542,29.741,2
44,7.247648903,388.2,3.78,546.9,12.6,29.83887,35.61409,32.4394,98.19473,7.922327,12.79952,24.97138,99.27339,19.51197,12.36886,43.46466,96.67895,45.5,16.24754,43.66766,106.3735,28.968,100.822,25.542,29.741,2
44.75,7.373040752,396.4,4.24,547.8,12.65,29.83887,35.61409,32.4394,98.19473,7.922327,12.79952,24.97138,99.27339,19.51197,12.36886,43.46466,96.67895,47.06482,15.42731,44.77693,102.548,28.968,100.822,25.542,29.741,2
45.75,7.310344828,396.8,4.27,548.3,12.7,29.83887,35.61409,32.4394,98.19473,7.922327,12.79952,24.97138,99.27339,19.51197,12.36886,43.46466,96.67895,47.65143,17.8583,45.42758,104.6263,28.968,100.822,25.542,29.741,2
35.75,10.55799373,388.2,3.78,361,2.27,23.61783,20.03741,58.70469,100.3365,22.10389,25.80275,26.6953,104.3803,16.60784,9.964012,20.37403,101.6758,0,18.41585,48.49004,102.6718,0.021,33.531,0.021,0.018,2
37,10.62068966,388.2,3.78,366.8,2.6,23.61783,20.03741,58.70469,100.3365,22.10389,25.80275,26.6953,104.3803,16.60784,9.964012,20.37403,101.6758,0,16.24754,43.66766,106.3735,0.021,33.531,0.021,0.018,2
38.25,10.55799373,396.4,4.24,366.8,2.6,23.61783,20.03741,58.70469,100.3365,22.10389,25.80275,26.6953,104.3803,16.60784,9.964012,20.37403,101.6758,0,15.42731,44.77693,102.548,24.435,87.94,18.806,17.066,2
39.5,10,396.8,4.27,366.8,2.6,23.61783,20.03741,58.70469,100.3365,22.10389,25.80275,26.6953,104.3803,16.60784,9.964012,20.37403,101.6758,0,17.8583,45.42758,104.6263,24.841,87.921,18.452,17.505,2
