coolant_temperature,oil_pressure,oil_TDN1,oil_temp1,oil_TDN2,oil_temp2,vibration_1_x,vibration_1_y,vibration_1_z,vibration_1_n,vibration_2_x,vibration_2_y,vibration_2_z,vibration_2_n,vibration_3_x,vibration_3_y,vibration_3_z,vibration_3_n,vibration_4_x,vibration_4_y,vibration_4_z,vibration_4_n,vtotal_rms,vtotal_rms_noise,vtotal_x_rms,vtotal_y_rms,band
37.25,16,392.8,4.04,366.3,2.57,12.8759,15.11392,22.92134,102.0351,16.48919,18.75549,9.758133,100.0151,9.36231,10.52722,11.58125,101.5055,42.97424444,17.50518333,41.94127333,104.2171333,13.116,88.316,12.997,13.233,6
37.75,16,393.7,4.09,366.3,2.57,12.8759,15.11392,22.92134,102.0351,16.48919,18.75549,9.758133,100.0151,9.36231,10.52722,11.58125,101.5055,42.97424444,17.50518333,41.94127333,104.2171333,12.348,88.474,11.55,12.186,6
38.5,16,393.7,4.09,374.6,3.03,12.8759,15.11392,22.92134,102.0351,16.48919,18.75549,9.758133,100.0151,9.36231,10.52722,11.58125,101.5055,42.97424444,16.77288333,40.82762,103.4553,12.348,88.474,11.55,12.186,6
39,16,393.7,4.09,374.6,3.03,12.8759,15.11392,22.92134,102.0351,16.48919,18.75549,9.758133,100.0151,9.36231,10.52722,11.58125,101.5055,42.97424444,16.77288333,40.82762,103.4553,12.348,88.474,11.55,12.186,6
39.5,16,395,4.17,374.6,3.03,12.8759,15.11392,22.92134,102.0351,16.48919,18.75549,9.758133,100.0151,9.36231,10.52722,11.58125,101.5055,42.97424444,16.77288333,40.82762,103.4553,13.123,89.413,14.286,11.006,6
40,16,395.5,4.19,374.6,3.03,12.8759,15.11392,22.92134,102.0351,16.48919,18.75549,9.758133,100.0151,9.36231,10.52722,11.58125,101.5055,42.97424444,16.77288333,40.82762,103.4553,13.21,88.815,14.094,11.362,6
40.75,16,395.5,4.19,375.1,3.06,12.8759,15.11392,22.92134,102.0351,16.48919,18.75549,9.758133,100.0151,9.36231,10.52722,11.58125,101.5055,42.97424444,16.77288333,40.82762,103.4553,13.21,88.815,14.094,11.362,6
41.25,16,395.5,4.19,375.1,3.06,12.8759,15.11392,22.92134,102.0351,16.48919,18.75549,9.758133,100.0151,9.36231,10.52722,11.58125,101.5055,42.97424444,16.77288333,40.82762,103.4553,13.21,88.815,14.094,11.362,6
41.75,16,395.5,4.19,375.1,3.06,12.8759,15.11392,22.92134,102.0351,16.48919,18.75549,9.758133,100.0151,9.36231,10.52722,11.58125,101.5055,42.97424444,16.77288333,40.82762,103.4553,13.21,88.815,14.094,11.362,6
42.5,16,398.1,4.36,375.1,3.06,12.8759,15.11392,22.92134,102.0351,16.48919,18.75549,9.758133,100.0151,9.36231,10.52722,11.58125,101.5055,42.97424444,16.77288333,40.82762,103.4553,13.402,89.569,13.919,11.601,6
