coolant_temperature,oil_pressure,oil_TDN1,oil_temp1,oil_TDN2,oil_temp2,vibration_1_x,vibration_1_y,vibration_1_z,vibration_1_n,vibration_2_x,vibration_2_y,vibration_2_z,vibration_2_n,vibration_3_x,vibration_3_y,vibration_3_z,vibration_3_n,vibration_4_x,vibration_4_y,vibration_4_z,vibration_4_n,vtotal_rms,vtotal_rms_noise,vtotal_x_rms,vtotal_y_rms,band
34.75,9.811912226,405.9,4.77,705.9,21.43,26.24111,17.3323,38.40924,104.5837,18.38376,10.88951,15.3198,102.4899,4.974817,7.801918,12.44918,100.2785,17.83299,9.624936,15.52274,103.4634,0.026,45.177,0.026,0.024,9
35.5,9.435736677,405.9,4.77,706.3,21.46,26.24111,17.3323,38.40924,104.5837,17.89499,10.81837,15.6172,99.4854,4.974817,7.801918,12.44918,100.2785,17.83299,9.624936,15.52274,103.4634,0.026,45.177,0.026,0.024,9
36,9.059561129,405.9,4.77,706.8,21.49,26.24111,17.3323,38.40924,104.5837,17.89499,10.81837,15.6172,99.4854,5.57442,9.161161,14.97201,100.4094,17.83299,9.624936,15.52274,103.4634,0.026,45.177,0.026,0.024,9
36.75,8.934169279,405.9,4.77,707.3,21.51,26.24111,17.3323,38.40924,104.5837,17.89499,10.81837,15.6172,99.4854,5.57442,9.161161,14.97201,100.4094,17.45553,11.10538,15.96893,105.1777,0.026,45.177,0.026,0.024,9
37.5,8.871473354,407.6,4.86,707.3,21.51,26.24111,17.3323,38.40924,104.5837,17.89499,10.81837,15.6172,99.4854,5.57442,9.161161,14.97201,100.4094,16.59417,10.18039,15.4446,104.2353,17.722,102.648,17.463,13.224,9
38,8.934169279,408,4.89,707.7,21.56,26.24111,17.3323,38.40924,104.5837,17.89499,10.81837,15.6172,99.4854,5.57442,9.161161,14.97201,100.4094,16.63894,10.82528,14.63635,105.8985,17.722,102.648,17.463,13.224,9
38.75,8.934169279,408.4,4.91,708.2,21.56,26.24111,17.3323,38.40924,104.5837,17.89499,10.81837,15.6172,99.4854,5.57442,9.161161,14.97201,100.4094,16.55473,10.51288,16.56488,98.6121,17.722,102.648,17.463,13.224,9
33.5,10,398.6,4.36,587,14.83,2.607398,3.495421,2.337226,101.6203,7.13295,2.548601,8.656517,103.2617,21.64892,12.75317,44.34223,102.166,12.7468,17.02128,17.86003,97.63895,0.025,36.647,0.025,0.023,9
34.75,9.686520376,399.5,4.41,586.6,14.81,2.607398,3.495421,2.337226,101.6203,7.13295,2.548601,8.656517,103.2617,21.64892,12.75317,44.34223,102.166,13.34778,18.47124,17.32791,103.24,0.025,36.647,0.025,0.023,9
36,9.498432602,400.3,4.44,586.6,14.81,2.607398,3.495421,2.337226,101.6203,7.13295,2.548601,8.656517,103.2617,21.64892,12.75317,44.34223,102.166,12.7366,18.30946,19.03967,97.92594,16.808,96.941,22.929,11.893,9
37.25,8.996865204,400.8,4.49,586.6,14.81,2.607398,3.495421,2.337226,101.6203,7.13295,2.548601,8.656517,103.2617,21.64892,12.75317,44.34223,102.166,12.11488,18.11623,17.3579,102.9226,16.885,103.385,23.547,11.111,9
38.25,8.871473354,401.2,4.51,586.6,14.81,2.607398,3.495421,2.337226,101.6203,7.13295,2.548601,8.656517,103.2617,21.64892,12.75317,44.34223,102.166,11.87561,16.34488,16.69438,97.84168,17.106,100.996,24.089,11.078,9
17,9.87460815,382,3.44,363.7,2.42,8.459483,9.831779,13.42194,104.3153,11.68486,9.84033,50.46716,101.6525,0.02049902,0.01945782,0.0291127,42.97068,0,20.10091,40.2269,104.4778,4.303,88.465,1.945,2.208,9
16.75,9.749216301,382.5,3.47,363.7,2.42,8.459483,9.831779,13.42194,104.3153,11.68486,9.84033,50.46716,101.6525,34.82494,15.19738,45.4287,100.1582,0,19.22994,35.61931,105.4771,32.284,88.062,26.697,12.635,9
16.875,9.686520376,382.9,3.49,363.7,2.42,8.459483,9.831779,13.42194,104.3153,11.68486,9.84033,50.46716,101.6525,34.82494,15.19738,45.4287,100.1582,0,17.03304,32.27835,103.1916,34.445,88.494,28.907,14.602,9
17.5,9.561128527,382.9,3.49,363.7,2.42,8.459483,9.831779,13.42194,104.3153,11.68486,9.84033,50.46716,101.6525,34.82494,15.19738,45.4287,100.1582,0,17.45851,33.46779,31.79588,36.125,86.969,28.597,14.66,9
34.25,9.623824451,0,0,642.6,17.92,16.75282,6.393088,19.32922,91.29073,4.207823,5.227431,12.84791,101.18,8.077706,7.007403,19.55311,103.7366,0.01946762,0.02013112,0.03099675,35.42141,0.026,40.141,0.025,0.024,9
35.25,9.561128527,0,0,640.9,17.83,16.75282,6.393088,19.32922,91.29073,4.207823,5.227431,12.84791,101.18,8.077706,7.007403,19.55311,103.7366,29.18838,14.76688,29.30907,97.42481,0.026,40.141,0.025,0.024,9
36.5,9.373040752,0,0,640.9,17.83,16.75282,6.393088,19.32922,91.29073,4.207823,5.227431,12.84791,101.18,8.077706,7.007403,19.55311,103.7366,27.90316,14.36929,27.48891,103.9988,16.179,103.304,14.54,14.851,9
37.5,9.373040752,0,0,640.9,17.83,16.75282,6.393088,19.32922,91.29073,4.207823,5.227431,12.84791,101.18,8.077706,7.007403,19.55311,103.7366,28.37244,13.48614,29.82211,104.1032,16.447,102.285,14.227,15.95,9
38.75,9.310344828,0,0,640.9,17.83,16.75282,6.393088,19.32922,91.29073,4.207823,5.227431,12.84791,101.18,8.077706,7.007403,19.55311,103.7366,27.267,14.13587,28.77456,103.868,16.39,103.169,15.071,15.394,9
39.75,9.310344828,0,0,640.9,17.83,16.75282,6.393088,19.32922,91.29073,4.207823,5.227431,12.84791,101.18,8.077706,7.007403,19.55311,103.7366,30.22092,14.66758,28.68692,95.66283,17.521,99.143,16.87,15.379,9
40.75,9.247648903,0,0,640.9,17.83,16.75282,6.393088,19.32922,91.29073,4.207823,5.227431,12.84791,101.18,8.077706,7.007403,19.55311,103.7366,31.44132,14.2987,29.43045,105.2701,17.247,103.758,15.497,15.644,9
