coolant_temperature,oil_pressure,oil_TDN1,oil_temp1,oil_TDN2,oil_temp2,vibration_1_x,vibration_1_y,vibration_1_z,vibration_1_n,vibration_2_x,vibration_2_y,vibration_2_z,vibration_2_n,vibration_3_x,vibration_3_y,vibration_3_z,vibration_3_n,vibration_4_x,vibration_4_y,vibration_4_z,vibration_4_n,vtotal_rms,vtotal_rms_noise,vtotal_x_rms,vtotal_y_rms,band
16.375,9.937304075,457.9,7.66,485.2,9.18,6.863181,4.499763,6.231208,104.5121,0.02441106,0.02310205,0.03273949,101.2491,0.02319185,0.01926514,0.02922253,30.64433,0,0,0,0,6.031,72.453,7.484,4.542,7
17.25,9.937304075,458.6,7.7,485.2,9.18,6.863181,4.499763,6.231208,104.5121,0,0,0,0,0.02319185,0.01926514,0.02922253,30.64433,0,0,0,0,6.613,72.966,8.266,5.026,7
18.375,9.937304075,458.6,7.7,485.2,9.18,6.863181,4.499763,6.231208,104.5121,0,0,0,0,8.858744,9.254285,12.13609,103.263,0,0,0,0,6.042,73.652,7.232,5.165,7
19.375,9.87460815,459.2,7.73,485.2,9.18,6.863181,4.499763,6.231208,104.5121,0,0,0,0,8.858744,9.254285,12.13609,103.263,0,0,0,0,6.244,73.651,7.8,4.711,7
20.375,9.87460815,459.2,7.73,485.2,9.18,6.863181,4.499763,6.231208,104.5121,0,0,0,0,8.858744,9.254285,12.13609,103.263,0,0,0,0,6.437,73.52,7.89,5.085,7
