coolant_temperature,oil_pressure,oil_TDN1,oil_temp1,oil_TDN2,oil_temp2,vibration_1_x,vibration_1_y,vibration_1_z,vibration_1_n,vibration_2_x,vibration_2_y,vibration_2_z,vibration_2_n,vibration_3_x,vibration_3_y,vibration_3_z,vibration_3_n,vibration_4_x,vibration_4_y,vibration_4_z,vibration_4_n,vtotal_rms,vtotal_rms_noise,vtotal_x_rms,vtotal_y_rms,band
21.125,8.808777429,563.9,13.55,522.2,11.23,13.3984,11.37256,27.58434,104.0975,10.10253,12.97081,13.94839,105.5033,15.90996,12.47154,23.2417,99.21579,29.1634,27.72714,40.74029,104.2352,22.4,103.726,20.345,22.856,0
21.875,8.808777429,564.3,13.57,522.2,11.23,13.3984,11.37256,27.58434,104.0975,10.10253,12.97081,13.94839,105.5033,15.90996,12.47154,23.2417,99.21579,30.50223,28.85213,44.35425,101.3781,22.78,99.822,20.135,24.445,0
22.5,8.871473354,564.3,13.57,532,11.78,13.3984,11.37256,27.58434,104.0975,10.10253,12.97081,13.94839,105.5033,15.90996,12.47154,23.2417,99.21579,33.90517,29.891,45.51253,104.4014,22.78,99.822,20.135,24.445,0
23.25,8.996865204,564.3,13.57,534.9,11.94,13.3984,11.37256,27.58434,104.0975,10.10253,12.97081,13.94839,105.5033,15.90996,12.47154,23.2417,99.21579,28.37876,26.87714,39.65763,103.8852,22.78,99.822,20.135,24.445,0
23.875,9.059561129,564.3,13.57,536.8,12.04,13.3984,11.37256,27.58434,104.0975,10.10253,12.97081,13.94839,105.5033,15.90996,12.47154,23.2417,99.21579,30.2964,28.14903,41.01107,105.9851,22.78,99.822,20.135,24.445,0
18,16,564.3,13.57,495.4,9.74,12.90639,8.482178,13.99866,101.9904,17.05774,16.14323,9.432778,105.3857,9.85113,12.74721,11.31314,103.9204,29.1634,27.72714,40.74029,104.2352,10.241,90.307,11.437,10.539,0
19,16,564.3,13.57,495.4,9.74,12.90639,8.482178,13.99866,101.9904,18.51011,16.29347,10.4561,104.1865,9.85113,12.74721,11.31314,103.9204,30.50223,28.85213,44.35425,101.3781,11.037,88.743,12.119,11.243,0
20,16,564.3,13.57,515.1,10.84,12.90639,8.482178,13.99866,101.9904,17.70791,18.05624,10.35439,104.2262,9.85113,12.74721,11.31314,103.9204,33.90517,29.891,45.51253,104.4014,11.037,88.743,12.119,11.243,0
21.125,16,564.3,13.57,519.2,11.07,12.90639,8.482178,13.99866,101.9904,18.54586,18.84093,10.85506,103.9347,9.85113,12.74721,11.31314,103.9204,28.37876,26.87714,39.65763,103.8852,11.037,88.743,12.119,11.243,0
22.25,16,564.3,13.57,525.2,11.4,12.90639,8.482178,13.99866,101.9904,20.10753,17.86735,9.885425,104.4424,9.85113,12.74721,11.31314,103.9204,30.2964,28.14903,41.01107,105.9851,11.037,88.743,12.119,11.243,0
