coolant_temperature,oil_pressure,oil_TDN1,oil_temp1,oil_TDN2,oil_temp2,vibration_1_x,vibration_1_y,vibration_1_z,vibration_1_n,vibration_2_x,vibration_2_y,vibration_2_z,vibration_2_n,vibration_3_x,vibration_3_y,vibration_3_z,vibration_3_n,vibration_4_x,vibration_4_y,vibration_4_z,vibration_4_n,vtotal_rms,vtotal_rms_noise,vtotal_x_rms,vtotal_y_rms,band
35.75,9.498432602,0,0,549.6,12.75,27.42827,12.43665,22.09208,104.3531,9.513754,11.16471,12.19544,104.38,12.81505,9.141238,12.01748,100.4008,34.25024,22.3753,34.8342,105.661,21.031,103.396,18.39,21.17,1
36.25,9.373040752,0,0,549.2,12.73,27.42827,12.43665,22.09208,104.3531,9.513754,11.16471,12.19544,104.38,12.81505,9.141238,12.01748,100.4008,38.51602,25.16516,37.14028,105.0041,21.031,103.396,18.39,21.17,1
36.5,9.373040752,0,0,548.7,12.7,27.42827,12.43665,22.09208,104.3531,9.513754,11.16471,12.19544,104.38,12.81505,9.141238,12.01748,100.4008,40.14949,27.55249,42.93058,103.4675,21.031,103.396,18.39,21.17,1
37.5,9.373040752,0,0,548.3,12.68,23.95845,12.443,20.64719,93.59346,9.513754,11.16471,12.19544,104.38,12.81505,9.141238,12.01748,100.4008,40.14949,27.55249,42.93058,103.4675,21.031,103.396,18.39,21.17,1
37.75,9.310344828,0,0,547.8,12.65,23.95845,12.443,20.64719,93.59346,9.610497,11.3299,13.42698,103.8549,12.81505,9.141238,12.01748,100.4008,40.14949,27.55249,42.93058,103.4675,21.031,103.396,18.39,21.17,1
38.75,9.310344828,0,0,547.4,12.63,23.95845,12.443,20.64719,93.59346,9.610497,11.3299,13.42698,103.8549,12.22233,9.554279,12.40174,98.88702,40.14949,27.55249,42.93058,103.4675,21.031,103.396,18.39,21.17,1
39.25,9.310344828,0,0,546.9,12.63,23.95845,12.443,20.64719,93.59346,9.610497,11.3299,13.42698,103.8549,12.22233,9.554279,12.40174,98.88702,40.46354,26.22818,39.81393,105.7585,21.031,103.396,18.39,21.17,1
40.5,9.247648903,0,0,546.9,12.6,23.95845,12.443,20.64719,93.59346,9.610497,11.3299,13.42698,103.8549,12.22233,9.554279,12.40174,98.88702,38.27818,25.27486,36.45912,99.42786,21.031,103.396,18.39,21.17,1
41.5,9.498432602,0,0,623.3,16.85,13.49835,10.56597,31.55902,102.5996,1.953229,13.4111,7.951751,95.75395,14.26286,11.1801,30.55554,102.9189,34.48796,20.62569,48.35347,99.79553,22.958,97.689,19.596,26.322,1
42.5,9.373040752,0,0,623.3,16.85,13.49835,10.56597,31.55902,102.5996,1.953229,13.4111,7.951751,95.75395,14.26286,11.1801,30.55554,102.9189,30.43986,19.28341,47.15036,94.33521,23.253,100.162,21.707,26.063,1
44,9.373040752,0,0,623.3,16.85,13.49835,10.56597,31.55902,102.5996,1.953229,13.4111,7.951751,95.75395,14.26286,11.1801,30.55554,102.9189,32.81664,20.31632,50.85609,93.28263,23.673,99.937,20.597,27.395,1
45.25,9.373040752,0,0,623.3,16.85,13.49835,10.56597,31.55902,102.5996,1.953229,13.4111,7.951751,95.75395,14.26286,11.1801,30.55554,102.9189,31.02174,18.22245,48.22853,98.15286,22.589,100.665,20.235,26.03,1
46.25,9.310344828,0,0,669.5,19.41,13.49835,10.56597,31.55902,102.5996,1.953229,13.4111,7.951751,95.75395,14.26286,11.1801,30.55554,102.9189,34.1346,20.06482,53.26812,96.37242,22.589,100.665,20.235,26.03,1
47.5,9.310344828,0,0,670,19.44,13.49835,10.56597,31.55902,102.5996,1.953229,13.4111,7.951751,95.75395,14.26286,11.1801,30.55554,102.9189,34.74476,21.49123,54.24014,101.5888,22.589,100.665,20.235,26.03,1
48.75,9.310344828,0,0,670.5,19.47,13.49835,10.56597,31.55902,102.5996,1.953229,13.4111,7.951751,95.75395,14.26286,11.1801,30.55554,102.9189,32.28198,20.20429,50.78274,95.10751,22.589,100.665,20.235,26.03,1
49.75,9.247648903,0,0,671,19.5,13.49835,10.56597,31.55902,102.5996,1.953229,13.4111,7.951751,95.75395,14.26286,11.1801,30.55554,102.9189,30.4468,18.4664,48.96729,98.02274,22.589,100.665,20.235,26.03,1
